Initial data (entries count: 250):
----------------------------------------------------------------------------------------------------
Title                         Year      Rating    Hash1               Hash2               
Judgment at Nuremberg         2061      9.3       0                   0                   
Casino                        2095      9.2       0                   0                   
Ran                           2085      9.2       0                   0                   
Pan's Labyrinth               2006      9.2       0                   0                   
The Truman Show               2098      9.2       0                   0                   
There Will Be Blood           2007      9.2       0                   0                   
Unforgiven                    2092      9.2       0                   0                   
The Sixth Sense               2099      9.2       0                   0                   
Shutter Island                2010      9.2       0                   0                   
A Beautiful Mind              2001      9.2       0                   0                   
Jurassic Park                 2093      9.2       0                   0                   
Yojimbo                       2061      9.2       0                   0                   
The Treasure of the Sierra... 2048      9.2       0                   0                   
Monty Python and the Holy ... 2075      9.2       0                   0                   
The Great Escape              2063      9.2       0                   0                   
No Country for Old Men        2007      9.2       0                   0                   
Spider-Man: No Way Home       2021      9.2       0                   0                   
Kill Bill: Vol. 1             2003      9.2       0                   0                   
Rashomon                      2050      9.2       0                   0                   
The Thing                     2082      9.2       0                   0                   
Finding Nemo                  2003      9.2       0                   0                   
The Elephant Man              2080      9.2       0                   0                   
Chinatown                     2074      9.2       0                   0                   
Raging Bull                   2080      9.2       0                   0                   
V for Vendetta                2005      9.2       0                   0                   
Gone with the Wind            2039      9.2       0                   0                   
Lock, Stock and Two Smokin... 2098      9.2       0                   0                   
Inside Out                    2015      9.2       0                   0                   
Dial M for Murder             2054      9.2       0                   0                   
The Secret in Their Eyes      2009      9.2       0                   0                   
Howl's Moving Castle          2004      9.2       0                   0                   
Three Billboards Outside E... 2017      9.1       0                   0                   
The Bridge on the River Kwai  2057      9.2       0                   0                   
Trainspotting                 2096      9.1       0                   0                   
Prisoners                     2013      9.1       0                   0                   
Warrior                       2011      9.2       0                   0                   
Fargo                         2096      9.1       0                   0                   
Gran Torino                   2008      9.1       0                   0                   
My Neighbor Totoro            2088      9.1       0                   0                   
Catch Me If You Can           2002      9.1       0                   0                   
Million Dollar Baby           2004      9.1       0                   0                   
Children of Heaven            2097      9.2       0                   0                   
Blade Runner                  2082      9.1       0                   0                   
The Gold Rush                 2025      9.1       0                   0                   
Before Sunrise                2095      9.1       0                   0                   
12 Years a Slave              2013      9.1       0                   0                   
Klaus                         2019      9.2       0                   0                   
Harry Potter and the Death... 2011      9.1       0                   0                   
On the Waterfront             2054      9.1       0                   0                   
Ben-Hur                       2059      9.1       0                   0                   
Gone Girl                     2014      9.1       0                   0                   
The Grand Budapest Hotel      2014      9.1       0                   0                   
Wild Strawberries             2057      9.1       0                   0                   
The General                   2026      9.1       0                   0                   
The Third Man                 2049      9.1       0                   0                   
In the Name of the Father     2093      9.1       0                   0                   
The Deer Hunter               2078      9.1       0                   0                   
Barry Lyndon                  2075      9.1       0                   0                   
Hacksaw Ridge                 2016      9.1       0                   0                   
The Wages of Fear             2053      9.2       0                   0                   
Memories of Murder            2003      9.1       0                   0                   
Sherlock Jr.                  2024      9.2       0                   0                   
Wild Tales                    2014      9.1       0                   0                   
Mr. Smith Goes to Washington  2039      9.1       0                   0                   
Mad Max: Fury Road            2015      9.1       0                   0                   
The Seventh Seal              2057      9.1       0                   0                   
Mary and Max                  2009      9.1       0                   0                   
How to Train Your Dragon      2010      9.1       0                   0                   
Room                          2015      9.1       0                   0                   
Monsters, Inc.                2001      9.1       0                   0                   
Jaws                          2075      9.1       0                   0                   
Dead Poets Society            2089      9.1       0                   0                   
The Big Lebowski              2098      9.1       0                   0                   
Tokyo Story                   2053      9.2       0                   0                   
The Passion of Joan of Arc    2028      9.2       0                   0                   
Hotel Rwanda                  2004      9.1       0                   0                   
Ford v Ferrari                2019      9.1       0                   0                   
Rocky                         2076      9.1       0                   0                   
Platoon                       2086      9.1       0                   0                   
Ratatouille                   2007      9.1       0                   0                   
Spotlight                     2015      9.1       0                   0                   
The Terminator                2084      9.1       0                   0                   
Logan                         2017      9.1       0                   0                   
Stand by Me                   2086      9.1       0                   0                   
Rush                          2013      9.1       0                   0                   
Network                       2076      9.1       0                   0                   
Into the Wild                 2007      9.1       0                   0                   
Before Sunset                 2004      9.1       0                   0                   
The Wizard of Oz              2039      9.1       0                   0                   
Pather Panchali               2055      9.3       0                   0                   
Groundhog Day                 2093      9.1       0                   0                   
The Best Years of Our Lives   2046      9.1       0                   0                   
The Exorcist                  2073      9.1       0                   0                   
The Incredibles               2004      9         0                   0                   
To Be or Not to Be            2042      9.2       0                   0                   
La haine                      2095      9.1       0                   0                   
The Battle of Algiers         2066      9.1       0                   0                   
Pirates of the Caribbean: ... 2003      9.1       0                   0                   
Hachi: A Dog's Tale           2009      9.1       0                   0                   
The Grapes of Wrath           2040      9.1       0                   0                   
Jai Bhim                      2021      9.8       0                   0                   
My Father and My Son          2005      9.2       0                   0                   
Amores Perros                 2000      9.1       0                   0                   
Rebecca                       2040      9.1       0                   0                   
Cool Hand Luke                2067      9.1       0                   0                   
The Handmaiden                2016      9.1       0                   0                   
The 400 Blows                 2059      9.1       0                   0                   
The Sound of Music            2065      9.1       0                   0                   
It Happened One Night         2034      9.1       0                   0                   
Persona                       2066      9.1       0                   0                   
Life of Brian                 2079      9         0                   0                   
The Iron Giant                2099      9.1       0                   0                   
The Help                      2011      9.1       0                   0                   
Dersu Uzala                   2075      9.2       0                   0                   
Aladdin                       2092      9         0                   0                   
Gandhi                        2082      9         0                   0                   
Dances with Wolves            2090      9         0                   0                   
----------------------------------------------------------------------------------------------------

Filtered movies (entries count: 250):
----------------------------------------------------------------------------------------------------
Title                         Year      Rating    Hash1               Hash2               
----------------------------------------------------------------------------------------------------
Dances with Wolves            2090      9         14693000000         3063615104          
The Help                      2011      9.1       14140000000         3869969465          
It Happened One Night         2034      9.1       14301000000         539440534           
Cool Hand Luke                2067      9.1       14532000000         1274971210          
Jai Bhim                      2021      9.8       14210000000         3386327114          
The Battle of Algiers         2066      9.1       14525000000         110317823           
The Exorcist                  2073      9.1       14574000000         2123908887          
The Wizard of Oz              2039      9.1       14336000000         3407293571          
Stand by Me                   2086      9.1       14665000000         963562072           
Gandhi                        2082      9         14637000000         3547260434          
Dersu Uzala                   2075      9.2       14588000000         3373665831          
Persona                       2066      9.1       14525000000         3208970302          
Aladdin                       2092      9         14707000000         3155439376          
Life of Brian                 2079      9         14616000000         1081490447          
Ratatouille                   2007      9.1       14112000000         1187212666          
The Handmaiden                2016      9.1       14175000000         13843028            
The Iron Giant                2099      9.1       14756000000         246090830           
The 400 Blows                 2059      9.1       14476000000         1858464325          
Rebecca                       2040      9.1       14343000000         3415135712          
Amores Perros                 2000      9.1       14063000000         1730171026          
The Grapes of Wrath           2040      9.1       14343000000         3991341709          
Hotel Rwanda                  2004      9.1       14091000000         1939152075          
La haine                      2095      9.1       14728000000         1384012708          
Dead Poets Society            2089      9.1       14686000000         2173997238          
The Sound of Music            2065      9.1       14518000000         2900708689          
Hachi: A Dog's Tale           2009      9.1       14126000000         3860115077          
To Be or Not to Be            2042      9.2       14357000000         1515982700          
Groundhog Day                 2093      9.1       14714000000         1880783474          
My Father and My Son          2005      9.2       14098000000         2112188150          
The Best Years of Our Lives   2046      9.1       14385000000         4225249103          
Before Sunset                 2004      9.1       14091000000         1045068759          
Into the Wild                 2007      9.1       14112000000         716080919           
Pirates of the Caribbean: ... 2003      9.1       14084000000         1149498997          
Jaws                          2075      9.1       14588000000         3651301170          
Rush                          2013      9.1       14154000000         2942773710          
Logan                         2017      9.1       14182000000         4157179813          
The Incredibles               2004      9         14091000000         1044943160          
The Seventh Seal              2057      9.1       14462000000         2955910915          
The Terminator                2084      9.1       14651000000         758974349           
Platoon                       2086      9.1       14665000000         467377131           
Pather Panchali               2055      9.3       14448000000         1764798720          
Wild Tales                    2014      9.1       14161000000         4276712027          
Rocky                         2076      9.1       14595000000         3461827766          
The Passion of Joan of Arc    2028      9.2       14259000000         2958120802          
Network                       2076      9.1       14595000000         2584570628          
Hacksaw Ridge                 2016      9.1       14175000000         674979189           
The Big Lebowski              2098      9.1       14749000000         1453927573          
How to Train Your Dragon      2010      9.1       14133000000         597487574           
Spotlight                     2015      9.1       14168000000         3461446366          
The Grand Budapest Hotel      2014      9.1       14161000000         1238507797          
Room                          2015      9.1       14168000000         960837426           
Mr. Smith Goes to Washington  2039      9.1       14336000000         2690133525          
Ford v Ferrari                2019      9.1       14196000000         2593890154          
Ben-Hur                       2059      9.1       14476000000         5640262             
Mad Max: Fury Road            2015      9.1       14168000000         3695253185          
The Wages of Fear             2053      9.2       14434000000         2286901324          
Tokyo Story                   2053      9.2       14434000000         1482488692          
Before Sunrise                2095      9.1       14728000000         2949370291          
Sherlock Jr.                  2024      9.2       14231000000         2159073982          
The Deer Hunter               2078      9.1       14609000000         1202158719          
Million Dollar Baby           2004      9.1       14091000000         1512369989          
Monsters, Inc.                2001      9.1       14070000000         386215564           
Mary and Max                  2009      9.1       14126000000         400172958           
Memories of Murder            2003      9.1       14084000000         1496486789          
In the Name of the Father     2093      9.1       14714000000         924246140           
The Third Man                 2049      9.1       14406000000         491179133           
Fargo                         2096      9.1       14735000000         4146736129          
Barry Lyndon                  2075      9.1       14588000000         1008509354          
The General                   2026      9.1       14245000000         3778839988          
Gone Girl                     2014      9.1       14161000000         2619353228          
Trainspotting                 2096      9.1       14735000000         4209557008          
Wild Strawberries             2057      9.1       14462000000         1338088199          
On the Waterfront             2054      9.1       14441000000         4086251265          
12 Years a Slave              2013      9.1       14154000000         3705987357          
The Secret in Their Eyes      2009      9.2       14126000000         618056309           
Harry Potter and the Death... 2011      9.1       14140000000         1249356321          
Klaus                         2019      9.2       14196000000         1514140651          
Children of Heaven            2097      9.2       14742000000         3543233704          
Gran Torino                   2008      9.1       14119000000         1645948113          
Three Billboards Outside E... 2017      9.1       14182000000         363173792           
Blade Runner                  2082      9.1       14637000000         2333854287          
Gone with the Wind            2039      9.2       14336000000         1958900029          
The Gold Rush                 2025      9.1       14238000000         751899780           
Lock, Stock and Two Smokin... 2098      9.2       14749000000         3085816015          
My Neighbor Totoro            2088      9.1       14679000000         2634647204          
Catch Me If You Can           2002      9.1       14077000000         3329838329          
Warrior                       2011      9.2       14140000000         3337294122          
Raging Bull                   2080      9.2       14623000000         1292169530          
The Elephant Man              2080      9.2       14623000000         1559190025          
Prisoners                     2013      9.1       14154000000         858078515           
The Bridge on the River Kwai  2057      9.2       14462000000         2531955837          
Kill Bill: Vol. 1             2003      9.2       14084000000         3581889165          
Rashomon                      2050      9.2       14413000000         3940597960          
Howl's Moving Castle          2004      9.2       14091000000         2496473503          
Dial M for Murder             2054      9.2       14441000000         76433219            
Monty Python and the Holy ... 2075      9.2       14588000000         1446240880          
The Treasure of the Sierra... 2048      9.2       14399000000         2281412002          
Inside Out                    2015      9.2       14168000000         106236106           
V for Vendetta                2005      9.2       14098000000         2741682251          
The Sixth Sense               2099      9.2       14756000000         2254094801          
A Beautiful Mind              2001      9.2       14070000000         166419149           
Chinatown                     2074      9.2       14581000000         2130051134          
Finding Nemo                  2003      9.2       14084000000         814195999           
The Truman Show               2098      9.2       14749000000         916274146           
Casino                        2095      9.2       14728000000         993845168           
The Thing                     2082      9.2       14637000000         4077870882          
Spider-Man: No Way Home       2021      9.2       14210000000         801452204           
There Will Be Blood           2007      9.2       14112000000         3756441735          
Some Like It Hot              2059      9.2       14476000000         843713075           
No Country for Old Men        2007      9.2       14112000000         2124004496          
The Great Escape              2063      9.2       14504000000         1553527393          
Judgment at Nuremberg         2061      9.3       14490000000         1465406258          
Yojimbo                       2061      9.2       14490000000         3256540768          
Shutter Island                2010      9.2       14133000000         1182904548          
Jurassic Park                 2093      9.2       14714000000         1542591149          
All About Eve                 2050      9.2       14413000000         3473839936          
Pan's Labyrinth               2006      9.2       14105000000         1240478763          
Unforgiven                    2092      9.2       14707000000         121358683           
Ran                           2085      9.2       14658000000         761902634           
Green Book                    2018      9.2       14189000000         1878096844          
The Wolf of Wall Street       2013      9.2       14154000000         183800283           
Bicycle Thieves               2048      9.3       14399000000         631021176           
The Father                    2020      9.2       14203000000         2378449761          
The Lives of Others           2006      9.4       14105000000         3343466567          
Sunset Blvd.                  2050      9.4       14413000000         898522937           
Apocalypse Now                2079      9.5       14616000000         2619406692          
Memento                       2000      9.4       14063000000         2332944936          
Indiana Jones and the Raid... 2081      9.4       14630000000         130324257           
Django Unchained              2012      9.4       14147000000         135661133           
Rear Window                   2054      9.5       14441000000         1255022489          
Cinema Paradiso               2088      9.5       14679000000         3965222572          
Alien                         2079      9.5       14616000000         1959477016          
City Lights                   2031      9.5       14280000000         171465258           
Harakiri                      2062      9.6       14497000000         456157450           
The Intouchables              2011      9.5       14140000000         912173245           
Modern Times                  2036      9.5       14315000000         2354583272          
Once Upon a Time in the West  2068      9.5       14539000000         3016585439          
The Prestige                  2006      9.5       14105000000         2363156836          
Whiplash                      2014      9.5       14161000000         1589750096          
Casablanca                    2042      9.5       14357000000         3599918059          
Grave of the Fireflies        2088      9.5       14679000000         2864832559          
Gladiator                     2000      9.5       14063000000         3150030158          
American History X            2098      9.5       14749000000         727725851           
The Departed                  2006      9.5       14105000000         239878667           
The Usual Suspects            2095      9.5       14728000000         3394189796          
Psycho                        2060      9.5       14483000000         3170137139          
Parasite                      2019      9.5       14196000000         396686605           
Léon: The Professional       2094      9.5       14721000000         3814967754          
The Lion King                 2094      9.5       14721000000         321012755           
Terminator 2: Judgment Day    2091      9.6       14700000000         2455287510          
Spirited Away                 2001      9.6       14070000000         2122114849          
Back to the Future            2085      9.5       14658000000         3705292719          
The Lord of the Rings: The... 2001      9.8       14070000000         2696632069          
Fight Club                    2099      9.8       14756000000         2696721859          
Forrest Gump                  2094      9.8       14721000000         85419889            
The Good, the Bad and the Ugly2066      9.8       14525000000         3382418986          
12 Angry Men                  2057      9         14462000000         3903719669          
Pulp Fiction                  2094      9.9       14721000000         3933183003          
The Lord of the Rings: The... 2003      9         14084000000         3248848987          
Schindler's List              2093      9         14714000000         3034258756          
Inception                     2010      9.8       14133000000         3383340067          
Paths of Glory                2057      9.4       14462000000         1913447676          
The Shawshank Redemption      2094      9.3       14721000000         1877152489          
The Kid                       2021      9.3       14210000000         2384475222          
The Dark Knight               2008      9         14119000000         1191151439          
The Pianist                   2002      9.5       14077000000         4004334637          
The Godfather                 2072      9.2       14567000000         1646090492          
The Godfather Part II         2074      9         14581000000         2868995063          
Star Wars: Episode V - The... 2080      9.7       14623000000         3712151869          
The Matrix                    2099      9.7       14756000000         3813748566          
The Lord of the Rings: The... 2002      9.8       14077000000         1499094952          
One Flew Over the Cuckoo's... 2075      9.7       14588000000         3332502559          
Se7en                         2095      9.6       14728000000         1564355926          
Seven Samurai                 2054      9.6       14441000000         3387602796          
Goodfellas                    2090      9.7       14693000000         2555075758          
The Silence of the Lambs      2091      9.6       14700000000         3944189477          
Saving Private Ryan           2098      9.6       14749000000         2156030986          
City of God                   2002      9.6       14077000000         2933018491          
It's a Wonderful Life         2046      9.6       14385000000         2012411423          
Life Is Beautiful             2097      9.6       14742000000         3271983395          
Star Wars: Episode IV - A ... 2077      9.6       14602000000         253721385           
The Green Mile                2099      9.6       14756000000         1197291654          
Interstellar                  2014      9.6       14161000000         3416268275          
WALL·E                       2008      9.4       14119000000         2140977983          
Witness for the Prosecution   2057      9.4       14462000000         2068190346          
Avengers: Infinity War        2018      9.4       14189000000         1861382757          
The Great Dictator            2040      9.4       14343000000         4275548352          
The Shining                   2080      9.4       14623000000         2664898396          
Dr. Strangelove or: How I ... 2064      9.4       14511000000         2564932315          
American Beauty               2099      9.4       14756000000         3401761575          
Spider-Man: Into the Spide... 2018      9.4       14189000000         1416442181          
Aliens                        2086      9.4       14665000000         2751141473          
Amadeus                       2084      9.4       14651000000         1927947045          
Inglourious Basterds          2009      9.3       14126000000         2397565064          
Oldboy                        2003      9.4       14084000000         557124531           
The Dark Knight Rises         2012      9.4       14147000000         1677524980          
Braveheart                    2095      9.4       14728000000         3854864997          
Joker                         2019      9.4       14196000000         2694670549          
Toy Story                     2095      9.3       14728000000         1300625289          
Coco                          2017      9.4       14182000000         2577805504          
Once Upon a Time in America   2084      9.3       14651000000         1471207031          
Princess Mononoke             2097      9.4       14742000000         3377701197          
Avengers: Endgame             2019      9.4       14196000000         2126079169          
The Boat                      2081      9.4       14630000000         1569558360          
Singin' in the Rain           2052      9.3       14427000000         2118415179          
3 Idiots                      2009      9.4       14126000000         2148633615          
Your Name.                    2016      9.4       14175000000         618993475           
Good Will Hunting             2097      9.3       14742000000         231413878           
Capernaum                     2018      9.4       14189000000         3982463487          
High and Low                  2063      9.4       14504000000         1188062239          
Toy Story 3                   2010      9.3       14133000000         3352590970          
Requiem for a Dream           2000      9.3       14063000000         648533785           
Reservoir Dogs                2092      9.3       14707000000         1220738407          
2001: A Space Odyssey         2068      9.3       14539000000         1196566243          
Eternal Sunshine of the Sp... 2004      9.3       14091000000         76493921            
Star Wars: Episode VI - Re... 2083      9.3       14644000000         1265743909          
M                             2031      9.3       14280000000         1775791601          
Citizen Kane                  2041      9.3       14350000000         3356931467          
The Hunt                      2012      9.3       14147000000         451769747           
Come and See                  2085      9.4       14658000000         3096341859          
Ikiru                         2052      9.3       14427000000         3675616699          
Vertigo                       2058      9.3       14469000000         311671302           
North by Northwest            2059      9.3       14476000000         2928988046          
Lawrence of Arabia            2062      9.3       14497000000         1232225951          
A Clockwork Orange            2071      9.3       14560000000         3509839475          
Double Indemnity              2044      9.3       14371000000         1192199694          
The Apartment                 2060      9.3       14483000000         3506465185          
Hamilton                      2020      9.4       14203000000         2310273475          
Scarface                      2083      9.3       14644000000         3608155296          
Amélie                       2001      9.3       14070000000         3590723419          
Top Gun: Maverick             2022      9.3       14217000000         2556636177          
The Sting                     2073      9.3       14574000000         3882382291          
Heat                          2095      9.3       14728000000         2713316022          
Full Metal Jacket             2087      9.3       14672000000         2191680052          
To Kill a Mockingbird         2062      9.3       14497000000         2374109838          
Taxi Driver                   2076      9.2       14595000000         2743782531          
Metropolis                    2027      9.3       14252000000         1870363405          
Incendies                     2010      9.3       14133000000         1755216854          
A Separation                  2011      9.3       14140000000         1070511138          
Snatch                        2000      9.2       14063000000         1670850320          
Indiana Jones and the Last... 2089      9.2       14686000000         273427660           
Up                            2009      9.3       14126000000         461743382           
Die Hard                      2088      9.2       14679000000         2193780857          
1917                          2019      9.2       14196000000         1745864548          
Downfall                      2004      9.2       14091000000         1648228048          
L.A. Confidential             2097      9.2       14742000000         3549418900          
Like Stars on Earth           2007      9.3       14112000000         1317222142          
Batman Begins                 2005      9.2       14098000000         2150051726          
For a Few Dollars More        2065      9.2       14518000000         726537642           
Dangal                        2016      9.3       14175000000         3195260907          
----------------------------------------------------------------------------------------------------
